source	accession	volume	family	title	element	h_cm	w_cm	l_cm	d_cm	diam_cm	n1_cm	n2_cm	n3_cm	weight_g	raw
cma	1969.215	core	shields	Five Pound Piece: George IV (obverse); Shield of Arms (rever	Diameter						3.8				Diameter: 3.8 cm (1 1/2 in.)
cma	1969.184	thief	jewelry_crowns	Halfcrown: Elizabeth I (obverse); Crowned Shield of Arms (re	Diameter						1.5				Diameter: 1.5 cm (9/16 in.)
cma	1969.192	thief	jewelry_crowns	Unite: Charles I (obverse); Crowned Shield (reverse)	Diameter						3.4				Diameter: 3.4 cm (1 5/16 in.)
cma	1969.185	thief	jewelry_crowns	Pound: Elizabeth I (obverse); Crowned Shield of Arms (revers	Diameter						3.8				Diameter: 3.8 cm (1 1/2 in.)
cma	1969.193	thief	jewelry_crowns	Unite: Charles I (obverse); Crowned Shield (reverse)	Diameter						3.2				Diameter: 3.2 cm (1 1/4 in.)
cma	1969.218	core	shields	Sovereign: Victoria (obverse); Shield of Arms (reverse)	Diameter						2.2				Diameter: 2.2 cm (7/8 in.)
cma	1969.188	thief	jewelry_crowns	Sovereign: James I (obverse); Crowned Shield (reverse)	Diameter						3.8				Diameter: 3.8 cm (1 1/2 in.)
cma	1969.191	core	shields	Laurel: James I (obverse); Shield of Arms (reverse)	Diameter						3.7				Diameter: 3.7 cm (1 7/16 in.)
cma	1969.187	thief	jewelry_crowns	Half Pound: Elizabeth I (obverse); Crowned Shield of Arms (r	Diameter						3.3				Diameter: 3.3 cm (1 5/16 in.)
cma	1969.194	thief	jewelry_crowns	Unite: Charles I (obverse); Crowned Shield (reverse)	Diameter						3.3				Diameter: 3.3 cm (1 5/16 in.)
cma	1969.204	core	shields	Guinea: Anne (obverse); Shields and rose (reverse)	Diameter						2.5				Diameter: 2.5 cm (1 in.)
cma	1916.1615	core	shields	Round Shield (Rondache)	Diameter						56.5				Diameter: 56.5 cm (22 1/4 in.)
cma	1969.209	core	shields	Guinea: George III (obverse); Shield of Arms (reverse)	Diameter						2.4				Diameter: 2.4 cm (15/16 in.)
cma	1969.205	core	shields	Half Guinea: Anne (obverse); Shields and Rose (reverse)	Diameter						2.1				Diameter: 2.1 cm (13/16 in.)
