family	source	accession	title	date	culture	medium_technique	measurements	highlight	image_url	object_url	license
mail	met	2014.198	Mail Shirt	ca. 1500–1600	Persian	Iron alloy, copper alloy (latten), copper, brass		0	https://images.metmuseum.org/CRDImages/aa/web-large/DP701225.jpg	https://www.metmuseum.org/art/collection/search/633538	CC0/PD
mail	cma	1921.1255	Gauntlet of Mail	1500s	England, 16th century	steel	Overall: 26.1 cm (10 1/4 in.)	0	https://openaccess-cdn.clevelandart.org/1921.1255/1921.1255_web.jpg	https://clevelandart.org/art/1921.1255	CC0/PD
mail	cma	1916.1638.b	Sleeve of Chain Mail	1500s	Germany	steel	Overall: 93.3 cm (36 3/4 in.); Across top: 51.5 cm (20 1/4 in.)	0	https://openaccess-cdn.clevelandart.org/1916.1638.b/1916.1638.b_web.jpg	https://clevelandart.org/art/1916.1638.b	CC0/PD
limbs_hands	cma	1916.1519	Leg Guard (Greave)	1500s	Germany	steelwith roped edge and scroll design	Overall: 43.2 x 12.4 cm (17 x 4 7/8 in.)	0	https://openaccess-cdn.clevelandart.org/1916.1519/1916.1519_web.jpg	https://clevelandart.org/art/1916.1519	CC0/PD
limbs_hands	met	14.25.856	"Left Pauldron (Shoulder Defense) Belonging to an Armor for Field and Tournament Made for Duke Nikolaus ""The Black"" Radziwill (1515–1565), Duke of Nesvizh and Olyka, Prince of the Empire, Grand Chancellor and Marshal of Lithuania"	ca. 1555; probably repainted later	German, Nuremberg	Steel, gold, paint		0	https://images.metmuseum.org/CRDImages/aa/web-large/DT2921.jpg	https://www.metmuseum.org/art/collection/search/26581	CC0/PD
limbs_hands	cma	1916.1946.g	Right Gauntlet	c.1550–1570	Germany	iron, steel, leather and brass rivets	Overall: 34.5 x 20 x 31.2 cm (13 9/16 x 7 7/8 x 12 5/16 in.)	0	https://openaccess-cdn.clevelandart.org/1916.1946.g/1916.1946.g_web.jpg	https://clevelandart.org/art/1916.1946.g	CC0/PD
limbs_hands	cma	1916.1511.g	Gauntlet with Bell Shaped Cuff (Right)	c. 1560–1580	South Germany, 16th century	steel, leather straps, brass rivets	Overall: 21.6 x 13 cm (8 1/2 x 5 1/8 in.)	0	https://openaccess-cdn.clevelandart.org/1916.1511.g/1916.1511.g_web.jpg	https://clevelandart.org/art/1916.1511.g	CC0/PD
limbs_hands	cma	1923.1067.j	Right Gauntlet	1801–1900	Germany, 19th century	steel with black paint	Overall: 27.3 x 33 cm (10 3/4 x 13 in.)	0	https://openaccess-cdn.clevelandart.org/1923.1067.j/1923.1067.j_web.jpg	https://clevelandart.org/art/1923.1067.j	CC0/PD
limbs_hands	cma	1916.1901.b	Gauntlet	1500s	Europe	chain mail	Overall: 20 cm (7 7/8 in.)	0	https://openaccess-cdn.clevelandart.org/1916.1901.b/1916.1901.b_web.jpg	https://clevelandart.org/art/1916.1901.b	CC0/PD
limbs_hands	met	1984.72	Gauntlet for the Left Hand	ca. 1557	German, Augsburg	Steel, gold, copper alloy, leather		0	https://images.metmuseum.org/CRDImages/aa/web-large/DT7690.jpg	https://www.metmuseum.org/art/collection/search/24903	CC0/PD
limbs_hands	met	29.158.121	Left Pauldron (Shoulder Defense) from a Boy's Costume Armor	ca. 1532	Austrian, Innsbruck	Steel, copper alloy, gold		0	https://images.metmuseum.org/CRDImages/aa/web-large/sfrl29.158.121_156939.jpg	https://www.metmuseum.org/art/collection/search/22824	CC0/PD
horse_armor	cma	1916.1526	Demi-Chanfron	c. 1550	Germany, Augsburg	steel, etched and gilded; leather	Overall: 6.8 x 24.5 cm (2 11/16 x 9 5/8 in.)	0	https://openaccess-cdn.clevelandart.org/1916.1526/1916.1526_web.jpg	https://clevelandart.org/art/1916.1526	CC0/PD
horse_armor	met	1997.242a–c	Pair of Neck Defenses (Crinet) and Breast Defense (Peytral) from a Horse Armor	15th–17th century	Tibetan or Mongolian	Leather, iron, brass or copper alloy, gold, shellac, pigments, textile, hair		0	https://images.metmuseum.org/CRDImages/aa/web-large/DT4198.jpg	https://www.metmuseum.org/art/collection/search/26568	CC0/PD
horse_armor	met	1999.36	Breast Defense (Peytral) from a Horse Armor	15th–17th century	Tibetan or Mongolian	Leather, iron, brass or copper alloy, silver, gold, shellac, pigments, textile, hair (yak)		0	https://images.metmuseum.org/CRDImages/aa/web-large/DP113294.jpg	https://www.metmuseum.org/art/collection/search/26626	CC0/PD
horse_armor	met	2007.183	Crinet and Shoulder Defense for a Horse	17th century	Western Tibetan	Textile (wool, cotton), iron, leather, hair (yak), horn or wood		0	https://images.metmuseum.org/CRDImages/aa/web-large/DP155716.jpg	https://www.metmuseum.org/art/collection/search/35174	CC0/PD
horse_armor	cma	1923.1067.y	Horse's Crinet	1801–1900	Germany, 19th century	steel with black paint	Overall: 27.3 x 33 cm (10 3/4 x 13 in.)	0	https://openaccess-cdn.clevelandart.org/1923.1067.y/1923.1067.y_web.jpg	https://clevelandart.org/art/1923.1067.y	CC0/PD
horse_armor	met	21.102.3	Shaffron (Horse's Head Defense)	17th century	Turkish	Gold, copper alloy (tombak), leather, textile		0	https://images.metmuseum.org/CRDImages/aa/web-large/DP169730.jpg	https://www.metmuseum.org/art/collection/search/33022	CC0/PD
horse_armor	met	21.139.1a–x	Horse Armor Probably Made for Count  Antonio IV Collalto (1548–1620)	ca. 1580–90 and later	Italian, probably Brescia	Steel, leather, copper alloy, textile		0	https://images.metmuseum.org/CRDImages/aa/web-large/DP-12882-001.jpg	https://www.metmuseum.org/art/collection/search/22757	CC0/PD
