family	source	accession	title	date	culture	medium_technique	measurements	highlight	image_url	object_url	license
crossbows_archery	cma	1916.1723.a	Crossbow of Elector Augustus I of Saxony	c. 1553–73	Germany, Saxony, 16th century	wood (walnut?), bone veneers, flax cord, steel (etched, traces of gilding). woolen pompoms, stock decorated wih inlaid trophies of arms	Overall: 58.5 cm (23 1/16 in.); Bow: 58.5 cm (23 1/16 in.); Butt: 5.7 cm (2 1/4 in.)	0	https://openaccess-cdn.clevelandart.org/1916.1723.a/1916.1723.a_web.jpg	https://clevelandart.org/art/1916.1723.a	CC0/PD
crossbows_archery	cma	1916.1726	Pellet Crossbow	1600s	Germany (?)	wood, inlaid with stag horn; flax cord; steel with traces of paint and gilding	Overall: 82.6 cm (32 1/2 in.); Bow: 59.4 cm (23 3/8 in.); Butt: 9.5 cm (3 3/4 in.)	0	https://openaccess-cdn.clevelandart.org/1916.1726/1916.1726_web.jpg	https://clevelandart.org/art/1916.1726	CC0/PD
crossbows_archery	met	29.158.647	Crossbow	ca. 1425–75	Central European, possibly Austria	Wood (European hornbeam), horn, animal sinew, animal glue, birch bark, staghorn, iron alloy, hemp, leather		0	https://images.metmuseum.org/CRDImages/aa/web-large/DP282473.jpg	https://www.metmuseum.org/art/collection/search/23336	CC0/PD
crossbows_archery	met	29.158.650a, b	Crossbow (Halbe Rüstung) with Winder (Cranequin)	crossbow, ca. 1720–30; winder, ca. 1575–1600	crossbow, German, probably Dresden; winder, possibly German	Steel, wood (walnut), staghorn, copper alloy, hemp, leather, silk, gold, iron alloy, wool		0	https://images.metmuseum.org/CRDImages/aa/web-large/DP295989.jpg	https://www.metmuseum.org/art/collection/search/23337	CC0/PD
crossbows_archery	met	29.158.646a–l	Quiver with Eleven Crossbow Bolts	quiver, probably early 16th century; bolts, 14th–16th century	Western or Central European; quiver, possibly German	Wood (oak, probably birch), tanned hide (possibly badger), paper, leather, steel, iron alloy		0	https://images.metmuseum.org/CRDImages/aa/web-large/DP294075.jpg	https://www.metmuseum.org/art/collection/search/34069	CC0/PD
shields	met	25.26.1	Shield for the Field or Tournament (Targe)	ca. 1450	German	Wood, leather, linen, gesso, pigments, silver		1	https://images.metmuseum.org/CRDImages/aa/web-large/DT768.jpg	https://www.metmuseum.org/art/collection/search/22876	CC0/PD
shields	met	42.50.16	Shield	ca. 1535	Italian, probably Bologna	Wood, linen, gesso, gold leaf, polychromy		1	https://images.metmuseum.org/CRDImages/aa/web-large/LC-42_50_16-030.jpg	https://www.metmuseum.org/art/collection/search/24693	CC0/PD
shields	met	25.163.1	Parade Shield Depicting the Conversion of Saint Paul	ca. 1570	Italian, Milan	Steel, gold, silver		0	https://images.metmuseum.org/CRDImages/aa/web-large/DT293353.jpg	https://www.metmuseum.org/art/collection/search/22895	CC0/PD
shields	cma	1929.325	Shield	by 1928	Africa, Uganda/Kenya, unknown maker	Bamboo, wood, pelt, and plant fiber	Overall: 34.6 cm (13 5/8 in.)	0	https://openaccess-cdn.clevelandart.org/1929.325/1929.325_web.jpg	https://clevelandart.org/art/1929.325	CC0/PD
shields	met	29.158.598	Shield (<i>Dhàl</i>)	early 19th century	North Indian	Hide, gilt bronze, enamel, lacquer, jewels, textile (velvet)		0	https://images.metmuseum.org/CRDImages/aa/web-large/DP347123.jpg	https://www.metmuseum.org/art/collection/search/34132	CC0/PD
shields	met	45.160.1	Buckler	ca. 1500	British, Wrexham, Wales	Iron, pigskin, brass, wood, fiber (flax), linen		0	https://images.metmuseum.org/CRDImages/aa/web-large/LC-45_160_1-001.jpg	https://www.metmuseum.org/art/collection/search/27942	CC0/PD
shields	met	69.196	Tournament Shield (Targe)	ca. 1500	German	Wood, burlap, leather, gesso, polychromy		0	https://images.metmuseum.org/CRDImages/aa/web-large/DP-41997-001.jpg	https://www.metmuseum.org/art/collection/search/26884	CC0/PD
shields	met	36.25.619	Shield (Dhàl)	19th century	Indian, Balochistān (modern-day Pakistan)	Cane, iron, brass, silk, cotton, leather		0	https://images.metmuseum.org/CRDImages/aa/web-large/LC-36_25_619-001.jpg	https://www.metmuseum.org/art/collection/search/31793	CC0/PD
shields	met	2015.695	Shield (<i>Dhál</i>)	ca. 1875	Indian, Gujarat	Leather, brass, textile, pigment, iron		0	https://images.metmuseum.org/CRDImages/aa/web-large/DP701277.jpg	https://www.metmuseum.org/art/collection/search/702016	CC0/PD
shields	met	30.101	Tournament or Cavalry Shield (Targe)	early 15th century	probably Austrian	Wood, leather, gesso, silver, paint		0	https://images.metmuseum.org/CRDImages/aa/web-large/DT240700.jpg	https://www.metmuseum.org/art/collection/search/23353	CC0/PD
decoration_donors	cma	1930.708.b	Dagger (red velvet case)	1700s–1800s	India	Wood sheath covered in velvet with metallic thread	Overall: 34.4 cm (13 9/16 in.)	0	https://openaccess-cdn.clevelandart.org/1930.708.b/1930.708.b_web.jpg	https://clevelandart.org/art/1930.708.b	CC0/PD
decoration_donors	met	1978.145a, b	Scimitar with Scabbard	late 16th–17th century	Hilt and scabbard, Turkish; Blade, Iranian	Steel, copper alloy (brass), silver, wood, gold, jade, turquoise, copper		0	https://images.metmuseum.org/CRDImages/aa/web-large/DP165780.jpg	https://www.metmuseum.org/art/collection/search/24876	CC0/PD
decoration_donors	met	26.145.256a–d	Hunting Sword with Scabbard, Knife, and Fork	blade dated 1656	German	Steel, silver, ivory, leather		0	https://images.metmuseum.org/CRDImages/aa/web-large/sfrl26.145.256a–d_64530.jpg	https://www.metmuseum.org/art/collection/search/22920	CC0/PD
decoration_donors	met	04.3.177a, b	Horn (Oliphant) with Case	horn, 11th–12th century; case, 16th century	South Italian	Ivory, silver, leather		0	https://images.metmuseum.org/CRDImages/aa/web-large/DP236095.jpg	https://www.metmuseum.org/art/collection/search/25164	CC0/PD
