family	source	accession	title	date	culture	medium_technique	measurements	highlight	image_url	object_url	license
mosque_lamps	cma	1944.236	Mosque Lamp	1585–95	Turkey, Iznik, Ottoman period (1299–1922)	Fritware with underglaze design	Overall: 28.4 x 19.5 cm (11 3/16 x 7 11/16 in.); Diameter of rim: 17 cm (6 11/16 in.)	0	https://openaccess-cdn.clevelandart.org/1944.236/1944.236_web.jpg	https://clevelandart.org/art/1944.236	CC0/PD
braziers	cma	2022.175	Brazier with Coins Motif	1893–1914	Japan, Meiji period (1868–1912)	Stoneware with underglaze iron oxide designs and crackling	height: 16.5 cm (6 1/2 in.); Diameter: 15.5 cm (6 1/8 in.)	0	https://openaccess-cdn.clevelandart.org/2022.175/2022.175_web.jpg	https://clevelandart.org/art/2022.175	CC0/PD
braziers	met	96.18.96	Terracotta brazier	ca. 600–530 BCE	Etruscan	Terracotta		0	https://images.metmuseum.org/CRDImages/gr/web-large/DP245708.jpg	https://www.metmuseum.org/art/collection/search/246610	CC0/PD
braziers	met	19.192.53	Terracotta brazier	ca. 550 BCE	Etruscan	Terracotta		0	https://images.metmuseum.org/CRDImages/gr/web-large/DP250456.jpg	https://www.metmuseum.org/art/collection/search/250786	CC0/PD
hearth	met	1975.1.1478	Chenet	second half of 19th century	French, Paris	Gilt bronze, cast in two parts.		0	https://images.metmuseum.org/CRDImages/rl/web-large/SF-1975-1-1478.jpg	https://www.metmuseum.org/art/collection/search/461375	CC0/PD
hearth	met	23.80.14	Andiron	1795–1810	American	Brass, iron		0	https://images.metmuseum.org/CRDImages/ad/web-large/52601.jpg	https://www.metmuseum.org/art/collection/search/64	CC0/PD
hearth	met	46.67.127	Andiron	1795–1815	American	Brass, iron		0	https://images.metmuseum.org/CRDImages/ad/web-large/138510.jpg	https://www.metmuseum.org/art/collection/search/93	CC0/PD
hearth	met	47.103.15	Fireback	1703	American	Cast iron		0	https://images.metmuseum.org/CRDImages/ad/web-large/139162.jpg	https://www.metmuseum.org/art/collection/search/3663	CC0/PD
hearth	met	36.32	Fireback	1770–74	American	Cast iron		0	https://images.metmuseum.org/CRDImages/ad/web-large/102818.jpg	https://www.metmuseum.org/art/collection/search/3664	CC0/PD
hearth	met	1972.284.8, .9	Pair of firedogs	ca. 1750		Gilt bronze, brass		0	https://images.metmuseum.org/CRDImages/es/web-large/DP108686.jpg	https://www.metmuseum.org/art/collection/search/205500	CC0/PD
hearth	met	2019.283.82	Andiron (feu or chenet) (one of a pair)	ca. 1780		Gilded bronze		0	https://images.metmuseum.org/CRDImages/es/web-large/DP-19402-007.jpg	https://www.metmuseum.org/art/collection/search/822774	CC0/PD
torches_cressets	met	74.51.370	Torch-holder	6th–4th century BCE	Cypriot	Terracotta		0	https://images.metmuseum.org/CRDImages/gr/web-large/LC-74_51_370.jpg	https://www.metmuseum.org/art/collection/search/239955	CC0/PD
torches_cressets	met	96.9.375	Bronze torch-holder	late 5th century BCE	Etruscan	Bronze		0	https://images.metmuseum.org/CRDImages/gr/web-large/DP254633.jpg	https://www.metmuseum.org/art/collection/search/246387	CC0/PD
torches_cressets	met	55.61.59	Torch Holder	15th–16th century	European	Iron		0	https://images.metmuseum.org/CRDImages/cl/web-large/cdi55-61-59.jpg	https://www.metmuseum.org/art/collection/search/471625	CC0/PD
