family	source	accession	title	date	culture	medium_technique	measurements	highlight	image_url	object_url	license
screens_fonts	met	17.190.45	Situla (Bucket for Holy Water)	860–880	Carolingian	Elephant ivory with gilded copper-alloy mounts and foil inlays		0	https://images.metmuseum.org/CRDImages/md/web-large/DP355173.jpg	https://www.metmuseum.org/art/collection/search/464438	CC0/PD
screens_fonts	cma	1924.421	Holy Water Font	late 1400s	Southern France, late 15th century	marble	Overall: 31.5 x 52.7 x 46.4 cm (12 3/8 x 20 3/4 x 18 1/4 in.)	0	https://openaccess-cdn.clevelandart.org/1924.421/1924.421_web.jpg	https://clevelandart.org/art/1924.421	CC0/PD
screens_fonts	met	47.101.21	Baptismal Font	ca. 1155–70	South Netherlandish	Dark calciferous limestone		0	https://images.metmuseum.org/CRDImages/cl/web-large/DP147278.jpg	https://www.metmuseum.org/art/collection/search/471263	CC0/PD
screens_fonts	met	64.96	Holy-water Font	ca. 1160–65	Italian	Marble (Carrara marble)		0	https://images.metmuseum.org/CRDImages/cl/web-large/DP167915.jpg	https://www.metmuseum.org/art/collection/search/471922	CC0/PD
screens_fonts	met	56.234.1	Choir screen from the Cathedral of Valladolid	completed ca. 1763		Iron: gilded and painted; limestone (base)		0	https://images.metmuseum.org/CRDImages/es/web-large/ES4661.jpg	https://www.metmuseum.org/art/collection/search/201926	CC0/PD
screens_fonts	met	1995.110	Holy-water stoup with relief of Mary of Egypt	ca. 1702		Lapis lazuli, silver, and gilded bronze		0	https://images.metmuseum.org/CRDImages/es/web-large/DT3860.jpg	https://www.metmuseum.org/art/collection/search/208203	CC0/PD
effigies_tombs	met	28.95a–xx	Tomb of Ermengol VII, Count of Urgell	ca. 1300–1350	Catalan	Limestone, traces of paint		1	https://images.metmuseum.org/CRDImages/cl/web-large/DP366862.jpg	https://www.metmuseum.org/art/collection/search/472387	CC0/PD
effigies_tombs	met	41.100.132	Tomb Effigy Bust of Marie de France (1327-41), daughter of Charles IV of France and Jeanne d'Evreux	ca. 1381	French	Marble with lead inlays		1	https://images.metmuseum.org/CRDImages/md/web-large/DT135.jpg	https://www.metmuseum.org/art/collection/search/467705	CC0/PD
effigies_tombs	met	1975.129	Tomb Effigy of a Boy, Probably Ermengol IX, Count of Urgell	first half 14th century	Catalan	Limestone, traces of paint		0	https://images.metmuseum.org/CRDImages/cl/web-large/cdi1975-129.jpg	https://www.metmuseum.org/art/collection/search/471965	CC0/PD
effigies_tombs	met	47.42	Head of a Cleric from a Tomb Effigy	1450–60	French	Red sandstone		0	https://images.metmuseum.org/CRDImages/md/web-large/DP134419.jpg	https://www.metmuseum.org/art/collection/search/468252	CC0/PD
effigies_tombs	met	53.137	Tomb Effigy of a Lady	mid-13th century	French	Limestone		0	https://images.metmuseum.org/CRDImages/cl/web-large/cdi53-137.jpg	https://www.metmuseum.org/art/collection/search/471462	CC0/PD
